date,18:00,19:00,20:00
1/1/2018,38.90000,38.90000,38.90000
1/2/2018,42.30000,41.90000,41.90000
1/3/2018,40.80000,40.50000,40.70000
1/4/2018,42.30000,41.90000,41.90000
1/5/2018,44.00000,44.10000,44.00000
1/6/2018,45.60000,44.50000,44.30000
1/7/2018,40.90000,41.20000,35.70000
1/8/2018,44.60000,44.30000,43.60000
1/9/2018,41.90000,42.90000,42.50000
1/10/2018,44.90000,44.40000,43.90000
1/11/2018,43.10000,42.60000,42.40000
1/12/2018,45.10000,45.00000,44.90000
1/13/2018,41.80000,40.20000,39.90000
1/14/2018,38.60000,36.40000,34.00000
1/15/2018,40.40000,40.80000,40.30000
1/16/2018,39.70000,39.60000,39.30000
1/17/2018,41.50000,40.50000,40.70000
1/18/2018,42.90000,42.70000,43.30000
1/19/2018,41.30000,40.20000,39.70000
1/20/2018,40.50000,40.60000,40.40000
1/21/2018,37.50000,37.90000,32.40000
1/22/2018,44.40000,44.10000,44.30000
1/23/2018,41.20000,40.60000,42.70000
1/24/2018,41.50000,40.70000,40.60000
1/25/2018,42.00000,41.60000,41.90000
1/26/2018,44.70000,43.90000,44.50000
1/27/2018,40.50000,40.40000,40.20000
1/28/2018,40.20000,40.30000,36.80000
1/29/2018,44.20000,43.70000,43.80000
1/30/2018,45.50000,45.30000,45.50000
1/31/2018,43.60000,43.60000,43.30000
2/1/2018,45.00000,44.00000,44.30000
2/2/2018,42.30000,42.00000,42.10000
2/3/2018,41.90000,42.00000,41.60000
2/4/2018,37.80000,37.90000,32.20000
2/5/2018,42.70000,41.70000,42.20000
2/6/2018,45.10000,41.50000,40.60000
2/7/2018,47.60000,46.70000,38.40000
2/8/2018,44.20000,42.30000,43.10000
2/9/2018,43.20000,42.80000,42.90000
2/10/2018,41.90000,42.20000,40.90000
2/11/2018,36.00000,35.60000,32.00000
2/12/2018,48.00000,47.80000,47.70000
2/13/2018,41.60000,41.20000,41.70000
2/14/2018,48.60000,47.20000,46.80000
2/15/2018,45.20000,44.90000,44.20000
2/16/2018,48.30000,47.50000,47.20000
2/17/2018,40.20000,40.50000,39.20000
2/18/2018,39.90000,40.40000,36.00000
2/19/2018,45.20000,44.60000,39.20000
2/20/2018,39.50000,39.70000,38.10000
2/21/2018,39.60000,39.00000,38.10000
2/22/2018,44.80000,44.90000,44.60000
2/23/2018,41.30000,41.40000,41.60000
2/24/2018,41.50000,39.10000,39.40000
2/25/2018,34.10000,33.50000,30.60000
2/26/2018,41.20000,41.10000,40.30000
2/27/2018,40.70000,39.70000,37.70000
2/28/2018,43.50000,42.70000,43.30000
3/1/2018,42.40000,42.30000,42.30000
3/2/2018,39.90000,40.30000,40.20000
3/3/2018,31.20000,31.30000,30.10000
3/4/2018,30.20000,29.60000,25.50000
3/5/2018,38.40000,39.30000,38.50000
3/6/2018,41.30000,41.90000,38.10000
3/7/2018,38.70000,39.10000,38.10000
3/8/2018,41.30000,40.50000,40.10000
3/9/2018,38.90000,38.70000,38.50000
3/10/2018,37.10000,37.10000,36.90000
3/11/2018,34.30000,34.40000,33.00000
3/12/2018,38.50000,38.70000,38.20000
3/13/2018,38.00000,37.30000,37.30000
3/14/2018,43.40000,42.80000,42.10000
3/15/2018,44.40000,44.20000,43.60000
3/16/2018,52.10000,51.40000,51.80000
3/17/2018,40.60000,39.50000,41.40000
3/18/2018,41.80000,40.80000,36.40000
3/19/2018,45.00000,43.60000,41.60000
3/20/2018,46.40000,45.30000,44.70000
3/21/2018,46.10000,45.70000,38.30000
3/22/2018,44.00000,43.60000,43.00000
3/23/2018,41.90000,40.90000,40.80000
3/24/2018,42.00000,41.80000,41.70000
3/25/2018,39.20000,39.00000,37.50000
3/26/2018,44.10000,43.70000,43.40000
3/27/2018,46.40000,45.50000,45.20000
3/28/2018,43.70000,43.70000,43.70000
3/29/2018,45.80000,44.70000,44.30000
3/30/2018,44.80000,45.10000,44.90000
3/31/2018,44.10000,44.10000,43.90000
4/1/2018,43.70000,38.30000,38.30000
4/2/2018,42.20000,42.70000,42.30000
4/3/2018,45.20000,44.40000,44.20000
4/4/2018,44.90000,45.20000,44.20000
4/5/2018,49.50000,48.80000,47.30000
4/6/2018,38.40000,46.80000,45.60000
4/7/2018,37.20000,36.40000,35.90000
4/8/2018,32.30000,28.80000,28.80000
4/9/2018,44.90000,44.20000,43.10000
4/10/2018,49.10000,41.00000,39.50000
4/11/2018,41.50000,41.40000,41.40000
4/12/2018,39.70000,40.30000,40.40000
4/13/2018,41.60000,41.60000,41.60000
4/14/2018,32.50000,36.60000,40.60000
4/15/2018,40.00000,37.30000,37.40000
4/16/2018,30.90000,30.40000,29.70000
4/17/2018,30.50000,30.30000,29.80000
4/18/2018,34.20000,33.30000,32.40000
4/19/2018,41.70000,40.50000,37.30000
4/20/2018,44.60000,42.50000,39.60000
4/21/2018,33.10000,32.20000,31.90000
4/22/2018,23.80000,22.40000,22.40000
4/23/2018,34.00000,33.50000,32.70000
4/24/2018,37.00000,36.50000,35.70000
4/25/2018,43.00000,42.10000,41.60000
4/26/2018,34.00000,32.90000,31.90000
4/27/2018,44.10000,44.00000,43.30000
4/28/2018,40.70000,40.20000,40.10000
4/29/2018,38.20000,35.30000,34.90000
4/30/2018,27.00000,27.10000,26.70000
5/1/2018,44.00000,42.10000,41.40000
5/2/2018,39.90000,34.60000,33.20000
5/3/2018,33.50000,32.40000,31.40000
5/4/2018,38.70000,37.70000,32.30000
5/5/2018,32.10000,31.20000,30.50000
5/6/2018,31.00000,29.20000,28.80000
5/7/2018,34.40000,33.10000,32.40000
5/8/2018,43.90000,41.00000,32.40000
5/9/2018,31.00000,30.40000,30.30000
5/10/2018,34.80000,33.50000,31.90000
5/11/2018,30.20000,29.70000,29.30000
5/12/2018,26.20000,26.40000,26.20000
5/13/2018,28.70000,25.30000,24.50000
5/14/2018,30.90000,30.80000,29.80000
5/15/2018,32.90000,31.70000,30.70000
5/16/2018,29.30000,28.40000,27.60000
5/17/2018,28.10000,27.20000,25.70000
5/18/2018,29.20000,28.80000,27.60000
5/19/2018,29.70000,28.90000,28.60000
5/20/2018,28.40000,25.70000,25.20000
5/21/2018,44.80000,45.00000,43.90000
5/22/2018,44.30000,42.00000,39.40000
5/23/2018,35.50000,34.40000,33.60000
5/24/2018,36.70000,36.70000,35.90000
5/25/2018,34.00000,34.30000,32.80000
5/26/2018,36.90000,35.50000,34.60000
5/27/2018,36.70000,30.80000,30.90000
5/28/2018,35.40000,34.60000,33.30000
5/29/2018,32.20000,31.90000,31.10000
5/30/2018,33.60000,33.40000,32.60000
5/31/2018,40.90000,36.60000,34.40000
6/1/2018,36.60000,37.20000,34.50000
6/2/2018,33.10000,32.10000,31.90000
6/3/2018,31.40000,29.40000,29.30000
6/4/2018,31.60000,31.40000,31.20000
6/5/2018,32.90000,32.50000,32.00000
6/6/2018,34.10000,33.40000,32.70000
6/7/2018,32.30000,32.20000,31.60000
6/8/2018,42.10000,33.80000,33.30000
6/9/2018,31.30000,31.70000,31.60000
6/10/2018,33.30000,29.00000,28.20000
6/11/2018,40.20000,38.30000,36.40000
6/12/2018,31.30000,33.20000,31.30000
6/13/2018,32.70000,32.00000,30.50000
6/14/2018,38.10000,35.90000,35.20000
6/15/2018,33.80000,32.70000,32.10000
6/16/2018,31.00000,31.10000,30.10000
6/17/2018,28.10000,26.10000,25.50000
6/18/2018,38.80000,34.80000,32.90000
6/19/2018,43.80000,41.60000,39.90000
6/20/2018,37.80000,37.60000,34.50000
6/21/2018,37.00000,36.20000,35.00000
6/22/2018,36.20000,35.20000,34.30000
6/23/2018,35.40000,35.10000,34.30000
6/24/2018,36.40000,31.50000,31.20000
6/25/2018,49.60000,47.20000,43.60000
6/26/2018,46.60000,44.70000,42.70000
6/27/2018,43.60000,41.00000,38.80000
6/28/2018,32.90000,32.90000,32.00000
6/29/2018,34.40000,33.20000,31.20000
6/30/2018,33.10000,32.30000,31.70000
7/1/2018,32.50000,30.50000,29.90000
7/2/2018,37.30000,35.60000,34.30000
7/3/2018,44.90000,43.60000,41.90000
7/4/2018,42.70000,41.20000,37.60000
7/5/2018,49.90000,45.90000,44.30000
7/6/2018,50.30000,48.50000,45.40000
7/7/2018,49.60000,46.60000,44.50000
7/8/2018,49.70000,42.10000,39.80000
7/9/2018,53.30000,46.20000,43.70000
7/10/2018,41.00000,39.90000,37.70000
7/11/2018,41.40000,38.80000,36.40000
7/12/2018,38.30000,37.60000,36.90000
7/13/2018,41.40000,39.70000,37.70000
7/14/2018,40.00000,39.70000,38.90000
7/15/2018,41.60000,38.90000,38.20000
7/16/2018,47.90000,44.50000,41.00000
7/17/2018,41.00000,40.10000,39.80000
7/18/2018,42.00000,42.10000,39.20000
7/19/2018,43.90000,41.20000,38.90000
7/20/2018,40.20000,39.10000,38.00000
7/21/2018,34.60000,34.20000,33.70000
7/22/2018,33.50000,30.70000,30.10000
7/23/2018,46.80000,43.00000,40.00000
7/24/2018,53.40000,49.90000,47.00000
7/25/2018,53.00000,49.60000,45.10000
7/26/2018,58.50000,55.40000,51.30000
7/27/2018,46.30000,43.60000,43.70000
7/28/2018,32.40000,32.10000,31.40000
7/29/2018,30.80000,29.50000,29.10000
7/30/2018,35.40000,35.40000,33.60000
7/31/2018,39.20000,36.80000,36.00000
8/1/2018,42.90000,41.40000,40.30000
8/2/2018,49.60000,46.70000,45.50000
8/3/2018,51.30000,45.70000,43.40000
8/4/2018,47.00000,43.40000,41.50000
8/5/2018,44.10000,37.00000,35.50000
8/6/2018,51.50000,47.30000,44.30000
8/7/2018,47.90000,46.20000,45.70000
8/8/2018,40.90000,38.70000,37.00000
8/9/2018,34.30000,33.30000,32.60000
8/10/2018,34.70000,33.30000,31.90000
8/11/2018,31.90000,31.80000,31.80000
8/12/2018,31.10000,28.80000,28.60000
8/13/2018,36.50000,36.40000,35.30000
8/14/2018,39.70000,38.80000,38.10000
8/15/2018,41.90000,41.00000,38.10000
8/16/2018,37.00000,36.20000,34.50000
8/17/2018,37.60000,36.80000,35.80000
8/18/2018,35.60000,36.10000,35.00000
8/19/2018,37.70000,32.40000,32.20000
8/20/2018,38.60000,37.80000,36.30000
8/21/2018,41.40000,38.80000,37.20000
8/22/2018,36.60000,36.20000,35.40000
8/23/2018,34.70000,33.90000,32.40000
8/24/2018,31.20000,30.40000,28.60000
8/25/2018,30.70000,30.20000,29.10000
8/26/2018,27.10000,25.80000,25.40000
8/27/2018,30.20000,30.40000,30.10000
8/28/2018,34.00000,33.30000,32.20000
8/29/2018,35.60000,35.10000,33.60000
8/30/2018,35.40000,35.60000,34.80000
8/31/2018,34.20000,33.70000,34.10000
9/1/2018,35.50000,34.40000,33.60000
9/2/2018,34.40000,30.20000,29.90000
9/3/2018,38.30000,38.40000,36.80000
9/4/2018,33.90000,32.30000,31.40000
9/5/2018,33.40000,32.50000,31.90000
9/6/2018,33.50000,33.10000,31.30000
9/7/2018,33.70000,32.20000,31.20000
9/8/2018,30.60000,29.70000,29.30000
9/9/2018,30.90000,28.50000,28.30000
9/10/2018,34.50000,33.30000,33.30000
9/11/2018,36.30000,35.70000,34.10000
9/12/2018,33.10000,32.20000,31.10000
9/13/2018,36.50000,35.20000,34.10000
9/14/2018,40.60000,40.20000,39.40000
9/15/2018,38.60000,38.00000,37.90000
9/16/2018,39.00000,34.90000,34.40000
9/17/2018,41.10000,40.10000,39.20000
9/18/2018,41.80000,41.00000,40.90000
9/19/2018,42.90000,42.50000,41.40000
9/20/2018,39.90000,39.80000,39.20000
9/21/2018,46.80000,46.00000,45.60000
9/22/2018,45.00000,45.60000,45.30000
9/23/2018,43.90000,39.60000,40.10000
9/24/2018,49.10000,47.60000,46.50000
9/25/2018,49.40000,48.20000,46.90000
9/26/2018,47.10000,46.80000,47.20000
9/27/2018,45.00000,44.20000,43.20000
9/28/2018,48.40000,47.60000,47.30000
9/29/2018,49.50000,48.60000,48.60000
9/30/2018,45.60000,42.10000,42.20000
10/1/2018,43.70000,43.30000,42.70000
10/2/2018,49.70000,49.70000,48.20000
10/3/2018,45.30000,44.00000,42.30000
10/4/2018,45.80000,44.40000,44.40000
10/5/2018,48.20000,48.30000,47.50000
10/6/2018,43.90000,43.70000,43.60000
10/7/2018,42.20000,37.20000,36.70000
10/8/2018,46.60000,45.20000,44.50000
10/9/2018,53.50000,52.00000,50.80000
10/10/2018,55.60000,54.30000,54.20000
10/11/2018,54.70000,52.80000,52.90000
10/12/2018,51.30000,51.70000,51.30000
10/13/2018,45.30000,45.20000,43.80000
10/14/2018,45.30000,40.30000,40.40000
10/15/2018,45.20000,44.70000,44.50000
10/16/2018,52.40000,52.00000,50.90000
10/17/2018,47.70000,48.50000,47.80000
10/18/2018,52.10000,51.20000,49.20000
10/19/2018,46.30000,45.40000,44.20000
10/20/2018,42.00000,41.80000,40.80000
10/21/2018,32.40000,29.20000,28.30000
10/22/2018,42.70000,42.10000,41.20000
10/23/2018,42.70000,42.50000,42.00000
10/24/2018,47.30000,46.60000,44.60000
10/25/2018,42.50000,41.80000,41.20000
10/26/2018,43.90000,42.70000,42.90000
10/27/2018,28.60000,28.70000,28.60000
10/28/2018,36.40000,33.80000,34.00000
10/29/2018,43.30000,42.30000,41.40000
10/30/2018,45.70000,44.20000,44.40000
10/31/2018,39.10000,38.90000,39.10000
11/1/2018,44.00000,42.80000,42.60000
11/2/2018,41.70000,42.90000,39.80000
11/3/2018,35.50000,35.20000,35.00000
11/4/2018,38.00000,37.60000,35.50000
11/5/2018,43.20000,42.90000,42.50000
11/6/2018,41.50000,41.00000,40.40000
11/7/2018,41.60000,41.50000,41.30000
11/8/2018,40.10000,39.40000,39.00000
11/9/2018,41.40000,40.80000,42.00000
11/10/2018,33.50000,33.00000,32.90000
11/11/2018,38.50000,38.40000,36.00000
11/12/2018,30.90000,29.80000,29.60000
11/13/2018,42.30000,41.70000,41.40000
11/14/2018,41.40000,41.00000,41.20000
11/15/2018,43.30000,43.60000,42.90000
11/16/2018,42.50000,41.90000,41.90000
11/17/2018,36.80000,35.90000,36.30000
11/18/2018,24.70000,24.80000,22.60000
11/19/2018,38.10000,37.70000,37.50000
11/20/2018,37.90000,38.10000,37.30000
11/21/2018,40.30000,39.50000,39.30000
11/22/2018,40.10000,39.20000,39.00000
11/23/2018,40.60000,40.70000,40.80000
11/24/2018,30.90000,30.10000,29.30000
11/25/2018,37.20000,36.80000,33.90000
11/26/2018,41.40000,40.00000,39.80000
11/27/2018,43.00000,42.00000,41.80000
11/28/2018,41.00000,40.70000,40.60000
11/29/2018,42.70000,42.10000,41.60000
11/30/2018,48.90000,48.50000,47.40000
12/1/2018,34.60000,35.10000,34.70000
12/2/2018,30.40000,30.20000,27.30000
12/3/2018,41.70000,42.00000,41.30000
12/4/2018,41.00000,40.00000,39.90000
12/5/2018,44.20000,43.50000,43.20000
12/6/2018,43.10000,44.30000,44.00000
12/7/2018,43.00000,42.50000,43.10000
12/8/2018,29.00000,28.40000,28.70000
12/9/2018,38.20000,38.50000,34.90000
12/10/2018,44.10000,42.30000,42.10000
12/11/2018,45.70000,44.80000,45.20000
12/12/2018,43.40000,42.10000,42.30000
12/13/2018,43.50000,43.60000,43.40000
12/14/2018,41.80000,41.30000,41.60000
12/15/2018,28.20000,28.60000,28.40000
12/16/2018,37.50000,36.80000,32.50000
12/17/2018,40.50000,39.70000,39.70000
12/18/2018,39.70000,39.40000,39.30000
12/19/2018,40.70000,38.90000,39.10000
12/20/2018,38.40000,38.40000,38.20000
12/21/2018,41.00000,40.90000,40.00000
12/22/2018,33.30000,33.10000,33.40000
12/23/2018,37.40000,37.00000,33.30000
12/24/2018,40.10000,41.00000,40.70000
12/25/2018,43.50000,42.40000,41.90000
12/26/2018,41.30000,40.70000,40.50000
12/27/2018,43.40000,42.40000,42.70000
12/28/2018,41.90000,41.20000,41.70000
12/29/2018,36.50000,36.50000,36.20000
12/30/2018,38.10000,38.50000,33.40000
12/31/2018,41.90000,40.60000,40.00000
1/1/2019,38.70000,39.10000,39.50000
1/2/2019,41.00000,40.50000,39.60000
1/3/2019,40.70000,39.80000,39.00000
1/4/2019,40.20000,38.30000,37.80000
1/5/2019,33.70000,34.10000,33.30000
1/6/2019,36.80000,37.00000,33.90000
1/7/2019,40.40000,40.40000,40.50000
1/8/2019,43.10000,42.10000,42.30000
1/9/2019,42.60000,42.10000,41.70000
1/10/2019,41.50000,40.90000,41.30000
1/11/2019,40.10000,39.50000,39.20000
1/12/2019,29.30000,29.10000,28.70000
1/13/2019,37.80000,38.20000,33.30000
1/14/2019,42.00000,41.20000,38.70000
1/15/2019,37.70000,38.10000,37.60000
1/16/2019,40.70000,40.30000,39.20000
1/17/2019,37.70000,36.30000,38.00000
1/18/2019,39.80000,38.70000,39.00000
1/19/2019,31.10000,31.10000,31.30000
1/20/2019,34.40000,33.90000,32.00000
1/21/2019,36.50000,36.70000,37.20000
1/22/2019,42.10000,40.80000,39.70000
1/23/2019,39.30000,39.10000,39.90000
1/24/2019,38.70000,38.20000,38.40000
1/25/2019,37.20000,36.60000,37.20000
1/26/2019,34.00000,34.10000,34.20000
1/27/2019,35.00000,35.90000,31.90000
1/28/2019,41.60000,42.00000,41.90000
1/29/2019,39.10000,38.80000,40.00000
1/30/2019,41.80000,41.00000,39.60000
1/31/2019,39.20000,38.70000,38.10000
2/1/2019,42.40000,41.70000,41.50000
2/2/2019,33.20000,33.30000,33.30000
2/3/2019,37.30000,38.10000,33.90000
2/4/2019,37.90000,36.70000,37.60000
2/5/2019,40.90000,39.50000,37.90000
2/6/2019,37.20000,37.40000,36.40000
2/7/2019,36.20000,35.80000,35.50000
2/8/2019,36.30000,35.50000,35.30000
2/9/2019,35.70000,36.10000,35.80000
2/10/2019,32.50000,32.10000,30.90000
2/11/2019,39.30000,38.10000,37.50000
2/12/2019,37.90000,37.80000,36.60000
2/13/2019,39.80000,38.70000,38.70000
2/14/2019,37.00000,36.60000,36.50000
2/15/2019,39.30000,39.10000,39.10000
2/16/2019,35.90000,36.10000,36.40000
2/17/2019,36.70000,36.60000,32.30000
2/18/2019,37.00000,36.90000,36.30000
2/19/2019,37.80000,38.40000,38.20000
2/20/2019,37.40000,37.00000,35.70000
2/21/2019,39.60000,39.20000,38.50000
2/22/2019,40.40000,39.60000,38.80000
2/23/2019,41.80000,41.60000,40.80000
2/24/2019,38.50000,38.20000,35.90000
2/25/2019,44.20000,42.60000,42.20000
2/26/2019,47.60000,45.80000,44.20000
2/27/2019,52.00000,47.50000,46.00000
2/28/2019,40.40000,40.50000,39.40000
3/1/2019,43.50000,40.70000,40.50000
3/2/2019,38.20000,37.80000,38.10000
3/3/2019,38.10000,37.90000,34.20000
3/4/2019,43.70000,42.10000,40.50000
3/5/2019,48.40000,46.20000,45.90000
3/6/2019,47.10000,46.50000,45.90000
3/7/2019,47.00000,47.10000,46.40000
3/8/2019,45.30000,45.10000,45.90000
3/9/2019,46.60000,46.40000,44.60000
3/10/2019,42.20000,41.60000,38.10000
3/11/2019,43.70000,45.00000,44.50000
3/12/2019,42.30000,42.80000,42.80000
3/13/2019,44.90000,44.30000,43.90000
3/14/2019,44.40000,43.40000,41.00000
3/15/2019,43.40000,43.80000,44.00000
3/16/2019,41.90000,41.60000,42.10000
3/17/2019,42.30000,42.20000,36.30000
3/18/2019,46.60000,45.20000,45.70000
3/19/2019,47.30000,47.80000,47.80000
3/20/2019,45.20000,45.30000,45.60000
3/21/2019,45.60000,45.20000,45.50000
3/22/2019,42.70000,43.80000,43.40000
3/23/2019,44.90000,44.40000,45.50000
3/24/2019,41.90000,41.50000,38.20000
3/25/2019,45.20000,44.70000,44.60000
3/26/2019,43.20000,41.50000,41.50000
3/27/2019,46.60000,46.00000,45.70000
3/28/2019,45.30000,44.10000,43.30000
3/29/2019,51.80000,46.40000,45.30000
3/30/2019,44.20000,43.30000,43.30000
3/31/2019,42.00000,42.30000,38.70000
4/1/2019,41.10000,40.10000,39.50000
4/2/2019,32.60000,30.50000,30.30000
4/3/2019,42.50000,42.30000,41.10000
4/4/2019,43.80000,43.40000,43.30000
4/5/2019,41.90000,41.30000,41.70000
4/6/2019,42.60000,42.60000,42.70000
4/7/2019,40.30000,36.10000,35.80000
4/8/2019,39.50000,39.50000,38.90000
4/9/2019,34.10000,33.50000,32.80000
4/10/2019,41.90000,40.50000,39.70000
4/11/2019,42.20000,41.60000,41.10000
4/12/2019,43.00000,42.30000,42.50000
4/13/2019,39.50000,39.90000,39.30000
4/14/2019,40.20000,38.10000,37.40000
4/15/2019,42.30000,42.10000,41.60000
